iter	Logloss
0	0.6863757981
1	0.6846085571
2	0.6824578985
3	0.682439432
4	0.68242645
5	0.6808035793
6	0.6789936068
7	0.6752445656
8	0.6752375123
9	0.6721668897
10	0.6687715302
11	0.6673559314
12	0.6638489108
13	0.6629355185
14	0.659624665
15	0.6561507314
16	0.6541793484
17	0.6541265469
18	0.6507765671
19	0.6506345389
20	0.6497451199
21	0.6494098628
22	0.6486309654
23	0.6482168207
24	0.6475023994
25	0.6465956033
26	0.6434833463
27	0.6418667558
28	0.6400522903
29	0.6378525315
30	0.6374038916
31	0.6372406159
32	0.6345692478
33	0.634108247
34	0.6331807509
35	0.6331206258
36	0.6310978781
37	0.6310865986
38	0.6310196181
39	0.6310152224
40	0.6291140559
41	0.6270264502
42	0.6248018186
43	0.6236997577
44	0.6218558537
45	0.6202738735
46	0.6192156097
47	0.617874006
48	0.615971394
49	0.6157719981
50	0.6132453998
51	0.6126997633
52	0.6124884555
53	0.6115146346
54	0.6101075469
55	0.6099141396
56	0.6097050244
57	0.6081080779
58	0.6067865605
59	0.6060065053
60	0.6047233873
61	0.6047180669
62	0.6044798623
63	0.6034820594
64	0.6027976998
65	0.6021195538
66	0.5997900304
67	0.5986312753
68	0.5976149461
69	0.597585253
70	0.5961847343
71	0.5952826946
72	0.5947089793
73	0.5939640119
74	0.59388013
75	0.5934255229
76	0.5933979829
77	0.5931078497
78	0.5928430425
79	0.5925758744
80	0.5920303948
81	0.5912389756
82	0.5911928903
83	0.5907331135
84	0.5901248886
85	0.5895252838
86	0.588290011
87	0.5880333547
88	0.5871345592
89	0.5860440762
90	0.5858522563
91	0.5849987293
92	0.5843832712
93	0.5839501188
94	0.5832409389
95	0.5819833054
96	0.5814429438
97	0.5805179728
98	0.5797887564
99	0.5784206621
100	0.577021721
101	0.5767600821
102	0.575391839
103	0.5732451016
104	0.5715515152
105	0.570069943
106	0.5687625795
107	0.5669919754
108	0.5640879343
109	0.562286046
110	0.5604139111
111	0.5564122057
112	0.5532260491
113	0.5506800676
114	0.5476550198
115	0.5443693528
116	0.5412057363
117	0.5377209672
118	0.5345625382
119	0.5313719207
120	0.5280125485
121	0.523971309
122	0.5194092654
123	0.5162796241
124	0.5131510319
125	0.5097321171
126	0.5072582175
127	0.5043273489
128	0.5010267027
129	0.4983772727
130	0.4957664565
131	0.4929050194
132	0.490186055
133	0.4882475196
134	0.4853345331
135	0.4830278912
136	0.4806696954
137	0.4783958308
138	0.4759827017
139	0.4736895382
140	0.4718249314
141	0.4696998189
142	0.4673658751
143	0.4653841371
144	0.4637765992
145	0.4623273859
146	0.460840327
147	0.458813438
148	0.4570489729
149	0.4553929749
150	0.4537616521
151	0.4524038795
152	0.4508809601
153	0.449409781
154	0.4476293108
155	0.4463010541
156	0.4450674089
157	0.4433958277
158	0.4420946349
159	0.4408965901
160	0.4391896992
161	0.4378311483
162	0.436891155
163	0.4357160355
164	0.4345602128
165	0.4340048029
166	0.4330798647
167	0.4321179713
168	0.4305111096
169	0.4295265838
170	0.4282257879
171	0.4271521603
172	0.4259438355
173	0.4248188822
174	0.4242053883
175	0.4233258238
176	0.4214205994
177	0.4209076849
178	0.4198172179
179	0.4185346339
180	0.417357238
181	0.4164013934
182	0.4155899507
183	0.4143099027
184	0.413552985
185	0.4124998368
186	0.4112502045
187	0.4104971459
188	0.4094817343
