iter	Passed	Remaining
0	219	43632
1	443	43955
2	665	43712
3	863	42320
4	1019	39777
5	1239	40063
6	1479	40785
7	1698	40758
8	1899	40313
9	2092	39751
10	2355	40467
11	2567	40221
12	2824	40631
13	3074	40841
14	3366	41518
15	3625	41694
16	3907	42060
17	4160	42064
18	4386	41783
19	4619	41579
20	4834	41212
21	5043	40806
22	5247	40384
23	5450	39968
24	5654	39584
25	5872	39299
26	6074	38922
27	6264	38484
28	6470	38152
29	6679	37851
30	6909	37670
31	7124	37402
32	7323	37061
33	7546	36842
34	7746	36518
35	7951	36224
36	8177	36024
37	8366	35668
38	8561	35341
39	8779	35118
40	9027	35007
41	9234	34737
42	9453	34517
43	9665	34267
44	9877	34022
45	10043	33622
46	10270	33434
47	10516	33303
48	10705	32989
49	10916	32749
50	11124	32501
51	11353	32314
52	11564	32073
53	11825	31971
54	12061	31797
55	12217	31415
56	12397	31101
57	12602	30854
58	12835	30674
59	13037	30420
60	13239	30168
61	13353	29721
62	13588	29550
63	13816	29360
64	14013	29105
65	14252	28936
66	14461	28706
67	14669	28476
68	14873	28238
69	15058	27965
70	15279	27761
71	15485	27529
72	15717	27343
73	15937	27136
74	16151	26918
75	16344	26667
76	16560	26453
77	16755	26206
78	16952	25964
79	17154	25732
80	17300	25416
81	17507	25194
82	17720	24979
83	17922	24749
84	18116	24510
85	18398	24389
86	18626	24192
87	18811	23941
88	19000	23697
89	19143	23397
90	19306	23124
91	19529	22925
92	19720	22689
93	19948	22495
94	20181	22306
95	20392	22092
96	20572	21844
97	20781	21629
98	20993	21417
99	21225	21225
100	21454	21029
101	21659	20810
102	21863	20589
103	22081	20382
104	22306	20182
105	22544	19992
106	22785	19804
107	23012	19602
108	23239	19402
109	23465	19199
110	23679	18986
111	23899	18778
112	24125	18574
113	24356	18374
114	24561	18154
115	24803	17961
116	25039	17762
117	25255	17550
118	25485	17347
119	25721	17147
120	25979	16961
121	26278	16801
122	26542	16616
123	26813	16433
124	27061	16236
125	27282	16022
126	27523	15820
127	27758	15614
128	28039	15432
129	28281	15228
130	28535	15030
131	28763	14817
132	29004	14611
133	29265	14414
134	29533	14220
135	29801	14024
136	30061	13823
137	30303	13614
138	30584	13422
139	30846	13220
140	31094	13011
141	31348	12804
142	31564	12581
143	31831	12379
144	32093	12173
145	32384	11977
146	32673	11780
147	32932	11570
148	33219	11370
149	33493	11164
150	33757	10954
151	34021	10743
152	34305	10538
153	34586	10330
154	34844	10116
155	35071	9891
156	35325	9675
157	35559	9452
158	35801	9231
159	36042	9010
160	36270	8786
161	36523	8567
162	36768	8346
163	37027	8128
164	37306	7913
165	37561	7693
166	37824	7474
167	38059	7249
168	38273	7020
169	38501	6794
170	38757	6572
171	39008	6350
172	39253	6126
173	39520	5905
174	39784	5683
175	40034	5459
176	40292	5235
177	40542	5010
178	40775	4783
179	41046	4560
180	41297	4335
181	41556	4110
182	41821	3885
183	42090	3660
184	42394	3437
185	42661	3211
186	42931	2984
187	43176	2755
188	43433	2527
